feature,importance
V14,0.18789324557613188
V10,0.13048078048586711
V4,0.1230511831958972
V17,0.09911869427950845
V12,0.08220771293865031
V11,0.07303290759927283
V3,0.059553959265464876
V7,0.030478835261538117
V16,0.028291720142760383
V2,0.020009767846567193
V21,0.01472327519917443
V27,0.012647662315023029
V9,0.011607560052043229
V8,0.011269167537567676
V18,0.011184246653385584
V19,0.011087581458540687
Amount_scaled,0.010605873620454138
V20,0.009697291052600879
V6,0.008477229926086878
V1,0.0072932661836799684
V5,0.007188341019306249
V26,0.00710814873943887
V13,0.006962072875895842
V15,0.005858059218291158
V23,0.005698043757253128
V28,0.005516728721089469
V22,0.005336082407952065
V25,0.005120590099814114
Time_scaled,0.0049555047724235
V24,0.0035444677983208273
